1, 13, 29
2, 13, 7
1, 14, 23
2, 14, 9
1, 15, 26
2, 15, 5
3, 15, 1
4, 15, 1
1, 16, 130
2, 16, 27
3, 16, 4
1, 17, 215
2, 17, 58
3, 17, 10
1, 18, 161
2, 18, 55
3, 18, 7
4, 18, 1
1, 19, 101
2, 19, 28
3, 19, 8
4, 19, 1
1, 20, 146
2, 20, 38
3, 20, 5
1, 21, 99
2, 21, 38
3, 21, 10
4, 21, 1
1, 22, 118
2, 22, 46
3, 22, 11
1, 23, 150
2, 23, 60
3, 23, 12
4, 23, 1
1, 24, 68
2, 24, 26
3, 24, 5
4, 24, 1
1, 25, 171
2, 25, 79
3, 25, 19
4, 25, 3
1, 26, 278
2, 26, 94
3, 26, 27
4, 26, 5
1, 27, 167
2, 27, 78
3, 27, 19
4, 27, 6
5, 27, 1
1, 28, 227
2, 28, 81
3, 28, 27
4, 28, 12
1, 29, 174
2, 29, 81
3, 29, 20
4, 29, 2
5, 29, 1
1, 30, 179
2, 30, 80
3, 30, 20
4, 30, 3
1, 31, 255
2, 31, 114
3, 31, 32
4, 31, 4
5, 31, 3
1, 32, 101
2, 32, 63
3, 32, 11
4, 32, 3
1, 33, 175
2, 33, 96
3, 33, 31
4, 33, 5
5, 33, 2
1, 34, 138
2, 34, 64
3, 34, 25
4, 34, 5
5, 34, 1
1, 35, 161
2, 35, 82
3, 35, 22
4, 35, 6
1, 36, 34
2, 36, 18
3, 36, 8
4, 36, 5
5, 36, 1
1, 37, 41
2, 37, 17
3, 37, 7
4, 37, 4
5, 37, 1
1, 38, 44
2, 38, 20
3, 38, 11
4, 38, 3
1, 40, 41
2, 40, 18
3, 40, 10
4, 40, 2
